,SPY,QQQ,SMH,XLU
2023-06-29,93.89988876529478,91.68055377515702,96.18211382113822,95.44720697449145
2023-06-30,94.98998887652948,93.11626714523779,97.76260162601626,96.54504359057152
2023-07-03,95.13236929922135,93.31624150749903,98.51056910569106,97.25540845979981
2023-07-05,94.972191323693,93.30085886424817,96.70894308943089,98.35324507587988
2023-07-06,94.23359288097886,92.6009485963338,95.61626016260162,97.15854052308686
2023-07-07,93.98220244716352,92.28047686194077,95.64878048780488,96.44817565385857
2023-07-10,94.22469410456063,92.32149724394309,96.9560975609756,96.06070390700678
2023-07-11,94.83426028921023,92.77272144596846,97.11219512195122,97.25540845979981
2023-07-12,95.58620689655173,93.92385591590822,99.0959349593496,98.67613819825638
2023-07-13,96.35817575083426,95.54928855274964,101.5609756097561,99.03132063287052
2023-07-14,96.29810901001112,95.53390590949878,100.57235772357724,98.64384888601873
2023-07-17,96.62736373748609,96.37225996667094,102.530081300813,97.48143364546335
2023-07-18,97.34593993325917,97.22343289321881,102.81626016260164,96.73877946399742
2023-07-19,97.52391546162403,97.09268042558647,101.7560975609756,97.73974814336455
2023-07-20,96.92769744160178,94.9083450839636,98.17886178861788,99.51566031643526
2023-07-21,96.91434927697442,94.6827329829509,98.61463414634146,100.96867936712948
2023-07-24,97.34149054505005,94.79810280733238,98.75772357723577,100.71036486922829
2023-07-25,97.59065628476084,95.46724778874503,100.33821138211383,100.90410074265418
2023-07-26,97.6218020022247,95.13139341110114,99.23902439024391,100.90410074265418
2023-07-27,96.97886540600668,94.9032175362133,101.05365853658536,99.16047788182112
2023-07-28,97.92436040044494,96.61069093705935,102.99186991869918,98.86987407168228
2023-07-31,98.11568409343715,96.71067811818997,103.02439024390245,98.96674200839523
2023-08-01,97.82202447163515,96.46711960005128,103.01138211382114,97.7074588311269
2023-08-02,96.47608453837597,94.35456992693244,99.1609756097561,97.7074588311269
2023-08-03,96.20244716351502,94.20330726829893,98.93333333333335,95.4794962867291
2023-08-04,95.75528364849833,93.72900910139725,98.95934959349593,94.34937035841136
2023-08-07,96.587319243604,94.55198051531855,100.04552845528455,94.38165967064901
2023-08-08,96.1979977753059,93.71875400589667,98.39349593495935,94.80142072973845
2023-08-09,95.53058954393771,92.69580822971413,96.35772357723577,95.02744591540201
2023-08-10,95.559510567297,92.8675810793488,96.20162601626016,94.73684210526316
2023-08-11,95.44827586206897,92.2471478015639,93.81463414634146,95.25347110106556
2023-08-14,96.03559510567297,93.34444302012562,96.6829268292683,94.51081691959962
2023-08-15,94.92769744160178,92.33175233944365,95.46666666666667,92.9286406199548
2023-08-16,94.21802002224695,91.35751826688886,93.96422764227643,93.3806909912819
2023-08-17,93.4972191323693,90.34226381233175,93.33983739837399,93.15466580561835
2023-08-18,93.52614015572858,90.23971285732598,93.71707317073171,93.60671617694544
2023-08-21,94.15350389321468,91.72926547878477,96.92357723577237,93.0577978689054
2023-08-22,93.89543937708565,91.5626201769004,95.91544715447155,93.31611236680659
2023-08-23,94.93882091212458,93.02140751185745,97.97723577235772,93.73587342589603
2023-08-24,93.63959955506118,90.97295218561723,95.49268292682927,93.15466580561835
2023-08-25,94.29588431590656,91.74977566978592,95.63577235772358,93.86503067484664
2023-08-28,94.89432703003337,92.42917574669914,96.81951219512196,93.83274136260899
2023-08-29,96.26918798665183,94.41097295218562,99.34308943089431,94.18792379722312
2023-08-30,96.64738598442715,94.96731188309191,99.78536585365852,93.80045205037133
2023-08-31,96.48498331479422,95.22881681835662,100.22764227642277,92.8640619954795
2023-09-01,96.69632925472747,95.16215869760286,100.16910569105691,92.37972231191476
2023-09-05,96.28476084538376,95.25189078323291,100.44878048780488,90.99128188569584
2023-09-06,95.63737486095661,94.44942956031278,99.330081300813,91.18501775912173
2023-09-07,95.34593993325917,93.76233816177412,97.11219512195122,92.34743299967711
2023-09-08,95.49499443826474,93.90334572490706,96.46178861788619,93.25153374233129
2023-09-11,96.12903225806451,94.99807716959364,96.52682926829269,93.57442686470779
2023-09-12,95.58843159065628,93.93923855915908,95.78536585365855,93.70358411365838
2023-09-13,95.6840934371524,94.29816690167927,96.60487804878049,94.8337100419761
2023-09-14,96.52725250278087,95.0596077425971,97.13821138211382,96.25443978043268
2023-09-15,95.34371523915462,93.38546340212793,94.15284552845529,95.77010009686794
2023-09-18,95.412680756396,93.54441738238687,94.51056910569106,95.77010009686794
2023-09-19,95.19466073414905,93.3316241507499,93.7040650406504,95.2211817888279
2023-09-20,94.31368186874305,91.99077041404948,92.12357723577234,95.2857604133032
2023-09-21,92.76084538375973,90.28329701320344,90.29593495934961,94.28479173393607
2023-09-22,92.54060066740823,90.31918984745545,91.07642276422764,94.12334517274782
2023-09-25,92.96106785317019,90.7627227278554,91.70731707317073,93.96189861155958
2023-09-26,91.58620689655173,89.38853993077811,90.3089430894309,91.15272844688408
2023-09-27,91.60400444938821,89.61671580566593,91.10243902439025,89.40910558605103
2023-09-28,92.16017797552837,90.34739136008204,92.60487804878049,87.50403616402971
2023-09-29,91.89988876529478,90.43712344571209,93.06016260162603,87.66548272521796
2023-10-02,91.91323692992214,91.15498013075246,93.82113821138212,83.53245075879884
2023-10-03,90.69187986651835,89.55262145878733,91.76585365853659,84.50113012592833
2023-10-04,91.34149054505005,90.77297782335597,93.17723577235772,84.40426218921537
2023-10-05,91.25695216907675,90.46788873221382,93.13821138211381,83.95221181788828
2023-10-06,92.36040044493882,92.02922702217664,95.14796747967479,85.11462705844366
2023-10-09,92.96329254727475,92.49839764132803,94.93983739837398,85.95414917662254
2023-10-10,93.44382647385984,92.99320599923087,96.1170731707317,87.14885372941556
2023-10-11,93.8420467185762,93.67004230226894,97.15121951219513,88.53729415563448
2023-10-12,93.27252502780868,93.3316241507499,97.6390243902439,87.21343235389087
2023-10-13,92.82981090100111,92.16254326368414,95.2260162601626,88.18211172102035
2023-10-16,93.7797552836485,93.21625432636841,96.26666666666667,89.08621246367453
2023-10-17,93.79532814238043,92.92654787847711,95.1609756097561,88.89247659024863
2023-10-18,92.53392658509455,91.61133188052814,93.22926829268293,88.02066515983209
2023-10-19,91.71301446051167,90.83707217023458,92.62439024390244,87.21343235389087
2023-10-20,90.5984427141268,89.49109088578388,91.1609756097561,86.30933161123669
2023-10-23,90.44271412680756,89.78079733367517,91.55121951219512,85.63125605424605
2023-10-24,91.09677419354838,90.61402384309703,92.55934959349594,87.79463997416855
2023-10-25,89.81979977753059,88.41943340597359,88.96910569105691,88.214401033258
2023-10-26,88.73859844271412,86.7093962312524,88.20813008130081,88.98934452696157
2023-10-27,88.34260289210233,87.1734393026535,88.74146341463414,87.40716822731676
2023-10-30,89.39265850945495,88.10921676708114,88.53333333333333,87.98837584759445
2023-10-31,89.93993325917687,88.56813229073195,89.15772357723579,88.76331934129803
2023-11-01,90.90322580645162,90.10639661581848,91.40162601626017,89.76428802066516
2023-11-02,92.62958843159066,91.71901038328419,93.7560975609756,91.47562156926058
2023-11-03,93.4972191323693,92.80605050634534,95.9349593495935,91.99225056506297
2023-11-06,93.70411568409344,93.17779771824125,96.2471544715447,91.76622537939942
2023-11-07,93.96218020022246,94.04691706191514,96.79349593495935,91.05586051017114
2023-11-08,94.08008898776419,94.12126650429431,97.16422764227642,90.4423635776558
2023-11-09,93.31479421579533,93.38033585437765,97.02113821138211,89.21536971262512
2023-11-10,94.78754171301446,95.4826304319959,100.93008130081301,89.69970939618986
2023-11-13,94.66963292547275,95.18523266247917,100.30569105691058,88.63416209234744
2023-11-14,96.49388209121246,97.21830534546852,103.37560975609756,92.18598643848887
2023-11-15,96.71635150166853,97.31829252659915,103.45365853658537,91.89538262835002
2023-11-16,96.83648498331479,97.40033329060377,103.81138211382115,92.37972231191476
2023-11-17,96.94104560622914,97.41058838610434,104.27317073170731,92.63803680981596
2023-11-20,97.69966629588431,98.60530701192154,105.80813008130082,92.37972231191476
2023-11-21,97.48832035595106,98.02076656838867,104.24715447154472,92.57345818534066
2023-11-22,97.85761957730811,98.42327906678631,104.03252032520324,92.96092993219244
2023-11-24,97.91323692992214,98.28739905140367,103.7528455284553,93.21924443009364
2023-11-27,97.75305895439377,98.19510319189847,103.75934959349594,93.34840167904424
2023-11-28,97.8309232480534,98.45148057941289,103.15447154471545,93.60671617694544
2023-11-29,97.78420467185762,98.3591847199077,104.08455284552845,92.9286406199548
2023-11-30,98.13348164627364,98.14639148827074,103.00487804878048,93.34840167904424
2023-12-01,98.71635150166853,98.40020510191,103.38861788617886,94.47852760736197
2023-12-04,98.20022246941046,97.46955518523266,101.87317073170732,94.15563448498547
2023-12-05,98.1979977753059,97.73362389437251,101.88617886178862,93.3806909912819
2023-12-06,97.8020022246941,97.15677477246507,101.07317073170732,94.70455279302551
2023-12-07,98.54949944382648,98.55403153441866,103.40813008130081,94.47852760736197
2023-12-08,98.96551724137932,98.9565440328163,104.25365853658536,94.28479173393607
2023-12-11,99.35483870967742,99.83079092424047,106.75772357723577,94.93057797868906
2023-12-12,99.83759733036707,100.62812459941033,107.89593495934959,94.54310623183727
2023-12-13,101.20133481646273,101.89462889373156,109.17073170731707,98.06264126574105
2023-12-14,101.52169076751946,101.79464171260095,111.14796747967479,96.77106877623507
2023-12-15,101.35483870967742,102.18177156774772,111.70081300813008,95.0920245398773
2023-12-18,101.92880978865406,102.9457761825407,111.87642276422764,94.8982886664514
2023-12-19,102.52725250278087,103.45853095756954,112.26666666666667,95.4149176622538
2023-12-20,101.07452725250278,101.91257531085758,109.13821138211382,93.54213755247014
2023-12-21,102.0734149054505,103.10729393667478,111.8569105691057,93.67129480142073
2023-12-22,102.28698553948833,103.2816305601846,111.869918699187,93.99418792379723
2023-12-26,102.70967741935483,103.89437251634405,113.43739837398374,94.57539554407491
2023-12-27,102.9098998887653,104.09178310473015,113.6260162601626,94.51081691959962
2023-12-28,102.94327030033371,104.04050762722727,113.4959349593496,95.2211817888279
2023-12-29,102.65183537263626,103.58415587745161,112.92357723577236,95.1566031643526
2024-01-02,102.06896551724138,101.84848096397897,109.04715447154472,96.41588634162093
2024-01-03,101.2258064516129,100.7537495192924,107.09593495934959,96.80335808847272
2024-01-04,100.91879866518353,100.266632483015,106.4910569105691,96.48046496609622
